Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
Curt Mega,@curtmega,The Warblers shoulda had more lines. ,False,lexus,program
Hozier,@Hozier,"As posturing heats up alongside the primaries, I just want to make clear to young folks voting for the first time in the US; the policies Warren and Sanders advocate for are not considered radical at all here in Europe. They are what we expect the state to provide its citizens  ",False,it & technical jobs,phone
Associate Professor J(an). J(amie). Eldridge,@astro_jje,Which dress should I wear for the TV interview? Flowers or stars? (Or other!). ,False,dance & electronic music,tourist attractions
Rachel & Jun,@RachelAndJun,"NEVER using @TransferWise again!! It was a massive hassle and then after transferring money they held it for days before canceling suddenly with no reason or warning. My transfer was set up on the best exchange rate day of the past year, which has since gotten worse--coincidence? ",False,bermuda,tv commercials
iamcardib,@iamcardib, ,False,lexus,program
iamcardib,@iamcardib,Me homeless cause hobi & joon took my job ,False,caucasus,plans
Elizabeth Warren,@ewarren,"How do we get more women to run for president?

Elect one for president.

I'm ready. #CNNTownHall ",False,wisconsin,nova
Curt Mega,@curtmega,I made a student gasp out loud tonight when I told my class that I didn’t really listen to music. ,False,lisbon,cute
Laura Prepon,@LauraPrepon,Welcoming home our new bundle of love. Overwhelmed with gratitude.     ,False,louisville,mens
ross,@OnceUponARoss,In which Elizabeth Warren decimates a Bernie Bro in the same fashion she did Mike Bloomberg. #CNNTownHall ,False,fashion designers & collections,history
AFC Ajax,@AFCAjax,Hakim Ziyech will miss the return match vs. Getafe.  More info -> 𝙥𝙧𝙚𝙨𝙨 𝙘𝙤𝙣𝙛𝙚𝙧𝙚𝙣𝙘𝙚 #UEL  #getaja ,False,retirement & pension,process
kar,@kar_lo,my new fav style of tiktoks are moms showing their kids fancy lunches ,False,kobe,cards
Andrew Yang,@AndrewYang,I confess that sometimes I feel like an asshole being back - like I left a battlefront alive when others didn’t make it back.  I will never be able to repay what people did for this campaign.  But I will try until the day I die. ,False,houston,alcoholic
Max,@maxmoefoe,,False,lexus,program
Jenna Marbles,Marbles,Video's Up: Painting Denim Jackets ,False,silicon valley,korean
Rykard,@ItsRykard,What chain does the best coffee? ,False,bermuda,tv commercials
Lauren,@Rugbynerd,Yes Scotland!   ,False,scotland,birmingham
ashlen,@ashcashashcash,"First concert - NSYNC 
Last concert - Meek Mill 
Best concert - Frank Ocean
Worst concert - Chief Keef lol
Loudest concert - Black Coffee 
Seen the most - Lil Wayne 
Most surprising - Slayer
Next concert -  Wish I could’ve seen - Radiohead and Rihanna ",False,bermuda,tv commercials
natalie tran,@natalietran,"just don't want to die and have that photo of my niece's crazy makeup as the last photo of self on my feed. 
Also, this was taken at a restaurant I really like that suddenly changed names, decor, menu, everything. But the staff are the same and pretend it's always been this way. ",False,it & technical jobs,phone
Memphis Depay,@Memphis,That’s what I’m talking about!!!!! @OL  #lions  #proud ,False,lexus,program
Sonny Bill Williams,@SonnyBWilliams,Today is gonna be interesting   ,False,intelligence & counterterrorism,aids
kim.,@KimmyMonte,this dog literally failed every single test thrown at him to become a service dog and i am scream laughing. but imho he’s still a very very good boy. ,False,golf equipment,environment
art,@venomsdyke,idk who needs to hear this but your nose actually looks great and fits your face well ,False,thanksgiving,computer hardware
june,@shoe0nhead,LMFAO could you IMAGINE if they did this in 2020 could you IMAGINE the videos ,False,video sharing,football
Strangest Videos Online,@StrangestMp4,,False,lexus,program
Teddy Fresh,@teddyfresh,TOMORROW 10AM PST ,False,lexus,program
Malala,@Malala,She’s the only friend I’d skip school for. ,False,schleswig-holstein,rwanda
hayleyville • delaney stan account,@iggplant,can amy poehler and rashida jones just get married already ,False,lexus,program
Alexandra Raisman,@Aly_Raisman,Still got it ,False,lexus,program
Noor,@eninxs,"I found those in my old DMs, wtf  ",False,oklahoma city,cologne
Dan White,@atdanwhite,Love this. My buddy is nervous because his long-distance girlfriend asked him to send her a dick pic. This is what your crew is for. ,False,sendai,pradesh
Dan Carter,@DanCarter,Name a better feeling than this...? ,False,lexus,program
Hirsty ☧,@realHirsty,An Italian man denied his pasta ,False,italian cuisine,girls
Ethan Bradberry,@EthanBradberry,girl ,False,gifu,juice
kendra,@kendraaaleighh,"In hs a girl told me that people only go to community college if theyre poor or not smart enough for university but now i have a full time job, degree and no student debt because of community college and she posts biweekly rants in favor of blue lives matter on Facebook so like ? ",False,blogging resources & services,legal
Hamza Shaban,@hshaban,"Matthews: You believe he is lying?

Warren: I believe the woman.

Matthews: You believe he is lying.

Warren: Which means he is not telling the truth.

Matthews: And why would he lie? Just to protect himself?

Warren: Yeah. And why would she lie? ",False,wisconsin,nova
hayleyville • delaney stan account,@iggplant,it's getting out of hand ,False,germany,tours
poshi,@posshvirgen,Yo crecí en una casa súper católica y si me acuerdo que un miércoles de ceniza dije que iba al templo y me fui a coger con un wey y obvio me cerraron el templo entonces el wey me puso ceniza de su cigarro con el dedo después de dedearme y así llegué a mi casa. ,False,car video,comparison
june,@shoe0nhead,this is a wholeass yike ,False,lexus,program
