Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
Elizabeth Windsor,@Queen_UK,"No, Andrew, you’re not “popping out” to flip anything over. Pancake day or not. ",False,dating & personals,travel insurance
AFC Ajax,@AFCAjax,𝗖𝗘𝗡𝗧𝗨𝗥𝗬 𝗫𝗜.    Scherpen - 2000  Van Gelderen - 2001  Kasanwirjo - 2002  Pierie - 2000  Castillo - 2000  Taylor - 2002  Jensen - 2000  Regeer - 2003  Q. Timber - 2001  Hansen - 2002  Ünüvar - 2003 #TalentTuesday  #ABNAMRO ,False,vancouver,map
Lonely Planet,@lonelyplanet,Airbnb offers hosts 'party prevention' noise monitors – https://fal.cn/36K2e ,False,mazda,plumbing
Richard Easther,@REasther,"Lovely science, measuring our changing climate by using GPS signals as radar pulses... Congrats to my @AucklandUni  @AucklandSpace colleague Delwyn Moller for putting this together, @nasa for the collaboration, and @MBIEsci for the support ",False,mazda,plumbing
NSFVoyager2,@NSFVoyager2,I am currently 17 hrs 08 mins 53 secs of light-travel time from Earth (2020:056:000000:2L) ,False,life simulation games,coffee
Lonely Planet,@lonelyplanet,"Happy #pancakeday ! If you fancy celebrating with a little twist, check out our recipe for a traditional Brazilian Tapí Parrí – https://fal.cn/36K0P ",False,lithuania,foods
Marmite,@marmite,Fancy something extra this pancake day? http://ow.ly/aDXh50yver0  #pancakeday via @Femail ,False,dating & personals,travel insurance
hayleyville,@iggplant,rashida producing... annie starring... sign me up thank u so much! ,False,signage,project
Rykard,@ItsRykard,    ,False,lexus,program
Feyenoord Rotterdam,@Feyenoord,Dennis Higler fluit zondag de topper in Eindhoven:  PSV - Feyenoord  14:30 uur #psvfey ,False,lexus,program
Harry Potter and the Cursed Child,@CursedChildLDN,"Hogwarts house banners in edible form, what kind of sorcery is this!? Happy Pancake Day! #PancakeDay ",False,hanoi,exchange
Rykard,@ItsRykard,"Guilty Conscience 
My Name Is 
Stan 
Superman 
Ass like that ",False,lexus,program
KNVB,@KNVB,Björn Kuipers en Jochem Kamphuis fluiten volgende week de halve finales van de #TOTOKNVBBeker : https://knvb.ly/beker2502 . ,False,thanksgiving,computer hardware
Rykard,@ItsRykard,I’m not gonna lie I’ve never listened to any of these. I’ll check them out though.  ,False,charlotte metro,normandy
KNVB,@KNVB,De aanstellingen voor komend weekend in de @eredivisie en @1e_Divisie : https://knvb.ly/scheids2502 . ,False,weddings,apparel
Lonely Planet,@lonelyplanet,Spain's heartland is the perfect road trip – https://fal.cn/36JYe ,False,trinidad & tobago,seattle
Rykard,@ItsRykard,Usher - U remind me ,False,lexus,program
Rykard,@ItsRykard,What’s your top five Eminem tracks? ,False,lexus,program
Associate Professor J(an). J(amie). Eldridge,@astro_jje,Today in a radio interview and a public talk I was asked about this and I got really upset and think I made a good case of why its so bad. :o( ,False,golf equipment,environment
AFC Ajax,@AFCAjax,𝑫𝒂𝒗𝒊𝒅 𝑲𝒂𝒍𝒐𝒌𝒐𝒉...    Mini-Klassieker  3 goals  Interview #TalentTuesday  #ABNAMRO ,False,miniatures & wargaming,fine
hayleyville,@iggplant,lauren graham's husband in zoey's playlist was really mean to her and i have started crying fjfjgkdksk am i ok ,False,west virginia,labrador
hayleyville,@iggplant,i have an idea... what if... joan left him... and found a wife... to luv... forever. ,False,lexus,program
Feyenoord Rotterdam,@Feyenoord,Op het programma vandaag: openbare training!   #psvfey ,False,training & certification,town
Alexis,@luvsexylexii,I'm not a morning person unless you want morning sex ,False,it & technical jobs,phone
iamcardib,@iamcardib,She have came 5 times .Her teeth be really white and she be wearing Gold jewelry.She be so bright I almost can’t see her .Thats how I know she in heaven ...same with my cousin. ,False,west virginia,labrador
iamcardib,@iamcardib,Henny was more bad but for some reason I was always in trouble   ,False,baden-wuerttemberg,west
iamcardib,@iamcardib,"I just wanna know if she happy and what she think of my baby ....and I wanna let her know me and Henny change,which I’m sure she knows . ",False,hanoi,exchange
iamcardib,@iamcardib,Did you used to whoop my momma ass ? ,False,usa,engine
iamcardib,@iamcardib,It’s been years and I still be missing my grandma like crazy .I have maaaaaaaaaaaaaa questions I would have love to ask now that I am a mom and grown ass woman. ,False,new year,shirts
Wizarding World,@wizardingworld,"Slytherins, it's time for your moment in the sssspotlight!  ",False,lexus,program
Warner Bros. Studio Tour London,@wbtourlondon,"Looking to really appreciate all that is Slytherin? Look no further.  For the first time ever, the Great Hall will be dressed to celebrate a Slytherin victory of the House Cup! Make plans to show your house pride by booking tickets: https://bit.ly/2QfY3B0 ",False,london (uk),theatre
KNVB,@KNVB,De wedstrijd tussen Jong AZ en Almere City FC wordt volgende week maandag overgespeeld: https://knvb.ly/azalm2502 . ,False,fiat,brisbane
AFC Ajax,@AFCAjax,"Pool table or football pitch? 

Naci Ünüvar doesn't care...   #TalentTuesday  #ABNAMRO ",False,pontiac,ohio
Lonely Planet,@lonelyplanet,Is jet lag worse when flying east or west? – https://fal.cn/36JVO ,False,fluid handling,idaho
OnsOranje,@OnsOranje,Morgen start de wederverkoopperiode voor EURO 2020-tickets: https://onsoran.je/tickets2602 . ,False,"how-to, diy & expert content",harvard
Dan Hangman Hooker,@danthehangman,This ones for the haters. ,False,lexus,program
Nancy Sinatra,@NancySinatra,"How does he sleep? Oh, wait, I forgot he has no conscience and probably thinks he is being heroic, the fool. @realDonaldTrump and buddy, Stephen Miller should spend eternity in hell. ",False,houston,alcoholic
Scott Dworkin,@funder,"Here’s video of Trump Advisor Stephen Miller in high school screaming he’s “sick and tired of being told to pick up my trash, when we have plenty of janitors who are paid to do it for us.” Would be a shame if it went viral... again. #StephenMillerWedding ",False,hesse,pa
Joseph Gordon-Levitt,@hitRECordJoe,Write down one thing you never got the chance to say.. https://hitrecord.app.link/q6ZIfCuQg4 ,False,"how-to, diy & expert content",harvard
Mia Farrow,@MiaFarrow,Anyone else feeling a little uncomfortable that the wife of a Supreme Court Justice is a chief orchestrator of Trump’s purge? ,False,lithuania,foods
shirtless men,@Hotukmen,Tuesday Tanning with @ThomasJ_powell    https://onlyfans.com/iamthomaspowell ,False,kawasaki,clothes
Lonely Planet,@lonelyplanet,Travelers advised to avoid affected areas of Italy amid #coronavirus outbreak – https://fal.cn/36JSb ,False,italy,hong
Fusion Interior Design,@JaseBarnett,What do you have in your pancakes?  We'll have a savoury one with ham and cheese and maybe marmite and then a sweet one. #shrovetuesday  #PancakeDay  #PancakeTuesday  #PancakeDay2020  #marmite ,False,hamilton-niagara peninsula,treatment
Laura Dockrill,@LauraDockrill,yep yep yep. If we tell the truth of how we really truly actually felt than maybe so many parents wouldn’t feel like failures when they don’t feel that ‘rush of love’ or have the confidence or capability or instant… https://instagram.com/p/B8-7v2Vl4_m/?igshid=11899em6voyc4… ,False,insects & entomology,valley
Kevin McHale,@druidDUDE,"Wtf is wrong with people?! How is this behavior any different than Trumps people? I love me some Bernie, but these people fuckin suck. ",False,die-cast & toy vehicles,chrysler
Alexander,@alexanderdcroft,. @nzyoungnats catching up with @simonjbridges over coffee - picking his brain and talking policy. We’re amped heading into September. ,False,boxing gloves & gear,effects
june,@shoe0nhead,i expected to see some heinous shit but i’m laughing my ass off sorry ,False,lexus,program
Chris Ray Gun,@ChrisRGun,That Klobuchar thing is on point. ,False,poetry,art
natalie tran,@natalietran,"me: What will you do now that you're four?

niece: probably get a job. ",False,jilin,resource
Joseph Gordon-Levitt,@hitRECordJoe,"I dare you to paste the latest thing that you copied.

Just paste it here, with NO EXPLANATION: https://hitrecord.app.link/wQXiz6I2g4 ",False,las vegas,traffic
Curt Mega,@curtmega,Love you bro!!! ,False,louisville,mens
Lonely Planet,@lonelyplanet,Classic romantic trips with an adventurous twist – https://fal.cn/36JLc ,False,romania,cost
Quade Cooper,@QuadeCooper,Loving the support from our sporting community allowing me to turn up and take part is some different sports and meet some truly amazing people. Big thanks kickbacktouchfootball for letting join their Monday night… https://instagram.com/p/B8-wyWlALEk/?igshid=1uv71mri6emte… ,False,die-cast & toy vehicles,chrysler
Thomas Powell,@ThomasJ_powell,https://onlyfans.com/away?url=https://onlyfans.com/iamthomaspowell… ,False,kawasaki,clothes
Nelson Museum,@NelsonMuseumNZ,On now at the Museum: Dr JJ Eldridge talks about the Moon in science and science fiction... #OurMoon ,False,science fiction & fantasy films,shows
Joseph Gordon-Levitt,@hitRECordJoe,The joy of making (and watching) movies is all captured perfectly right here in these commentary clips from THE THING ,False,make-up & cosmetics,test
Russell Brand,@rustyrockets,"First #Sydney show is sold out! Second show on 4th March is selling fast!
Tickets -> https://russellbrand.com/live/ ",False,seattle-tacoma,sporting
